"año";"mes";"categoria";"ventas";"ranking_categorias";"sum_acumulado_categoria";"venta_mensual_contra_promedio"
2023;1;Tecnología;2100000.00;1;2100000.00;Bajo el promedio
2023;1;Cocina;1240000.00;2;1240000.00;Bajo el promedio
2023;1;Audio;560000.00;3;560000.00;Bajo el promedio
2023;1;Iluminación;220000.00;4;220000.00;Bajo el promedio
2023;2;Cocina;1300000.00;1;2540000.00;Exitoso
2023;2;Electrodomésticos;810000.00;2;810000.00;Bajo el promedio
2023;2;Tecnología;380000.00;3;2480000.00;Bajo el promedio
2023;2;Accesorios;90000.00;4;90000.00;Bajo el promedio
2023;3;Tecnología;5370000.00;1;7850000.00;Exitoso
2023;3;Muebles;2240000.00;2;2240000.00;Exitoso
2023;3;Cocina;620000.00;3;3160000.00;Bajo el promedio
2023;3;Hogar;375000.00;4;375000.00;Bajo el promedio
2023;3;Accesorios;90000.00;5;180000.00;Bajo el promedio
2023;4;Audio;3395000.00;1;3955000.00;Exitoso
2023;4;Muebles;480000.00;2;2720000.00;Bajo el promedio
2023;5;Tecnología;4620000.00;1;12470000.00;Exitoso
2023;5;Cocina;440000.00;2;3600000.00;Bajo el promedio
2023;5;Hogar;330000.00;3;705000.00;Bajo el promedio
2023;5;Accesorios;45000.00;4;225000.00;Bajo el promedio
2023;6;Electrodomésticos;1620000.00;1;2430000.00;Bajo el promedio
2023;6;Muebles;1140000.00;2;3860000.00;Bajo el promedio
2023;6;Iluminación;520000.00;3;740000.00;Exitoso
2023;6;Accesorios;180000.00;4;405000.00;Bajo el promedio
2023;7;Electrodomésticos;7770000.00;1;10200000.00;Exitoso
2023;7;Accesorios;270000.00;2;675000.00;Bajo el promedio
2023;7;Iluminación;195000.00;3;935000.00;Bajo el promedio
2023;7;Audio;85000.00;4;4040000.00;Bajo el promedio
2023;8;Electrodomésticos;1860000.00;1;12060000.00;Bajo el promedio
2023;8;Cocina;1100000.00;2;4700000.00;Bajo el promedio
2023;8;Hogar;840000.00;3;1545000.00;Exitoso
2023;8;Accesorios;450000.00;4;1125000.00;Exitoso
2023;8;Iluminación;110000.00;5;1045000.00;Bajo el promedio
2023;9;Tecnología;5960000.00;1;18430000.00;Exitoso
2023;9;Hogar;750000.00;2;2295000.00;Exitoso
2023;9;Iluminación;110000.00;3;1155000.00;Bajo el promedio
2023;10;Electrodomésticos;9350000.00;1;21410000.00;Exitoso
2023;10;Tecnología;1520000.00;2;19950000.00;Bajo el promedio
2023;10;Iluminación;1080000.00;3;2235000.00;Exitoso
2023;10;Audio;280000.00;4;4320000.00;Bajo el promedio
2023;10;Cocina;260000.00;5;4960000.00;Bajo el promedio
2023;11;Muebles;2920000.00;1;6780000.00;Exitoso
2023;11;Iluminación;325000.00;2;2560000.00;Bajo el promedio
2023;11;Hogar;125000.00;3;2420000.00;Bajo el promedio
2023;11;Accesorios;90000.00;4;1215000.00;Bajo el promedio
2023;12;Electrodomésticos;1260000.00;1;22670000.00;Bajo el promedio
2023;12;Muebles;950000.00;2;7730000.00;Bajo el promedio
2023;12;Hogar;840000.00;3;3260000.00;Exitoso
2023;12;Accesorios;490000.00;4;1705000.00;Exitoso
2023;12;Tecnología;285000.00;5;20235000.00;Bajo el promedio
2024;1;Electrodomésticos;1350000.00;1;24020000.00;Bajo el promedio
2024;1;Hogar;1130000.00;2;4390000.00;Exitoso
2024;1;Audio;680000.00;3;5000000.00;Bajo el promedio
2024;2;Audio;1820000.00;1;6820000.00;Exitoso
2024;2;Electrodomésticos;1800000.00;2;25820000.00;Bajo el promedio
2024;2;Accesorios;90000.00;3;1795000.00;Bajo el promedio
2024;3;Tecnología;3580000.00;1;23815000.00;Bajo el promedio
2024;3;Muebles;1400000.00;2;9130000.00;Exitoso
2024;3;Iluminación;815000.00;3;3375000.00;Exitoso
2024;3;Cocina;780000.00;4;5740000.00;Bajo el promedio
2024;4;Hogar;630000.00;1;5020000.00;Bajo el promedio
2024;4;Muebles;560000.00;2;9690000.00;Bajo el promedio
2024;4;Tecnología;285000.00;3;24100000.00;Bajo el promedio
2024;4;Iluminación;65000.00;4;3440000.00;Bajo el promedio
2024;5;Tecnología;3895000.00;1;27995000.00;Exitoso
2024;5;Muebles;2240000.00;2;11930000.00;Exitoso
2024;5;Audio;340000.00;3;7160000.00;Bajo el promedio
2024;5;Hogar;125000.00;4;5145000.00;Bajo el promedio
2024;6;Cocina;2170000.00;1;7910000.00;Exitoso
2024;6;Electrodomésticos;1860000.00;2;27680000.00;Bajo el promedio
2024;6;Hogar;630000.00;3;5775000.00;Bajo el promedio
2024;6;Tecnología;420000.00;4;28415000.00;Bajo el promedio
2024;6;Accesorios;360000.00;5;2155000.00;Exitoso
2024;6;Iluminación;260000.00;6;3700000.00;Bajo el promedio
2024;7;Electrodomésticos;2480000.00;1;30160000.00;Bajo el promedio
2024;7;Muebles;1960000.00;2;13890000.00;Exitoso
2024;7;Hogar;1510000.00;3;7285000.00;Exitoso
2024;7;Cocina;260000.00;4;8170000.00;Bajo el promedio
2024;8;Cocina;880000.00;1;9050000.00;Bajo el promedio
2024;8;Audio;870000.00;2;8030000.00;Exitoso
2024;8;Hogar;660000.00;3;7945000.00;Bajo el promedio
2024;8;Tecnología;380000.00;4;28795000.00;Bajo el promedio
2024;8;Electrodomésticos;360000.00;5;30520000.00;Bajo el promedio
2024;9;Muebles;1580000.00;1;15470000.00;Exitoso
2024;9;Cocina;930000.00;2;9980000.00;Bajo el promedio
2024;9;Audio;580000.00;3;8610000.00;Bajo el promedio
2024;9;Iluminación;130000.00;4;3830000.00;Bajo el promedio
2024;9;Accesorios;45000.00;5;2200000.00;Bajo el promedio
2024;10;Tecnología;4395000.00;1;33190000.00;Exitoso
